layer,expert,rank_sum,action
46,0,2.0,keep
57,162,3.0,keep
37,162,5.0,keep
47,164,5.0,keep
60,163,5.0,keep
12,165,6.0,keep
29,163,7.0,keep
51,166,7.0,keep
20,162,8.0,keep
43,0,8.0,keep
23,165,9.0,keep
43,168,9.0,keep
56,168,9.0,keep
52,0,10.0,keep
10,164,11.0,keep
42,164,11.0,keep
47,0,11.0,keep
17,169,14.0,keep
50,162,14.0,keep
57,163,14.0,keep
5,172,15.0,keep
16,164,15.0,keep
31,172,15.0,keep
11,171,16.0,keep
12,172,16.0,keep
30,161,16.0,keep
36,162,16.0,keep
1,170,17.0,keep
35,171,17.0,keep
36,161,17.0,keep
37,167,17.0,keep
51,165,17.0,keep
21,164,18.0,keep
22,169,18.0,keep
3,167,19.0,keep
23,174,19.0,keep
36,178,19.0,keep
22,170,20.0,keep
26,168,20.0,keep
33,172,20.0,keep
41,177,20.0,keep
50,165,20.0,keep
0,175,21.0,keep
11,173,21.0,keep
22,163,21.0,keep
26,166,21.0,keep
29,172,21.0,keep
32,178,21.0,keep
33,180,21.0,keep
35,162,21.0,keep
58,169,21.0,keep
30,168,22.0,keep
34,161,22.0,keep
49,0,22.0,keep
55,0,22.0,keep
61,168,22.0,keep
9,172,23.0,keep
14,165,23.0,keep
16,180,23.0,keep
55,181,23.0,keep
0,163,24.0,keep
52,170,24.0,keep
52,171,24.0,keep
53,177,24.0,keep
3,180,25.0,keep
34,184,25.0,keep
44,179,25.0,keep
55,161,25.0,keep
56,180,25.0,keep
6,170,26.0,keep
13,182,26.0,keep
28,179,26.0,keep
30,182,26.0,keep
45,164,26.0,keep
26,179,27.0,keep
32,161,27.0,keep
48,172,27.0,keep
55,175,27.0,keep
60,170,27.0,keep
2,173,28.0,keep
29,161,28.0,keep
43,177,28.0,keep
15,186,29.0,keep
16,170,29.0,keep
32,164,29.0,keep
34,173,29.0,keep
46,184,29.0,keep
58,168,29.0,keep
5,183,30.0,keep
8,163,30.0,keep
11,189,30.0,keep
12,179,30.0,keep
13,175,30.0,keep
14,0,30.0,keep
15,171,30.0,keep
59,0,30.0,keep
13,186,31.0,keep
23,164,31.0,keep
26,172,31.0,keep
35,176,31.0,keep
37,175,31.0,keep
46,164,31.0,keep
55,171,31.0,keep
14,181,32.0,keep
16,190,32.0,keep
38,174,32.0,keep
43,184,32.0,keep
0,169,33.0,keep
10,188,33.0,keep
20,170,33.0,keep
27,161,33.0,keep
33,174,33.0,keep
45,162,33.0,keep
59,168,33.0,keep
59,170,33.0,keep
3,163,34.0,keep
4,175,34.0,keep
8,188,34.0,keep
10,179,34.0,keep
15,158,34.0,keep
29,160,34.0,keep
37,161,34.0,keep
37,168,34.0,keep
39,163,34.0,keep
42,161,34.0,keep
45,177,34.0,keep
46,190,34.0,keep
51,173,34.0,keep
57,165,34.0,keep
14,185,35.0,keep
16,158,35.0,keep
19,158,35.0,keep
22,183,35.0,keep
29,173,35.0,keep
47,173,35.0,keep
47,178,35.0,keep
2,170,36.0,keep
7,162,36.0,keep
15,181,36.0,keep
21,176,36.0,keep
47,189,36.0,keep
50,158,36.0,keep
52,179,36.0,keep
4,163,37.0,keep
10,170,37.0,keep
11,163,37.0,keep
14,130,37.0,keep
17,131,37.0,keep
33,171,37.0,keep
36,174,37.0,keep
41,185,37.0,keep
12,166,38.0,keep
12,181,38.0,keep
22,179,38.0,keep
27,131,38.0,keep
34,177,38.0,keep
51,167,38.0,keep
52,166,38.0,keep
57,131,38.0,keep
0,0,39.0,keep
6,186,39.0,keep
11,0,39.0,keep
15,177,39.0,keep
23,175,39.0,keep
24,181,39.0,keep
29,185,39.0,keep
36,187,39.0,keep
47,166,39.0,keep
53,187,39.0,keep
58,133,39.0,keep
59,132,39.0,keep
0,168,40.0,keep
2,171,40.0,keep
2,176,40.0,keep
16,182,40.0,keep
18,168,40.0,keep
24,133,40.0,keep
26,162,40.0,keep
30,134,40.0,keep
30,178,40.0,keep
41,169,40.0,keep
45,186,40.0,keep
46,167,40.0,keep
48,167,40.0,keep
53,164,40.0,keep
53,182,40.0,keep
